"Date","Time","PT08.S1.CO.","PT08.S2.NMHC.","PT08.S3.NOx.","PT08.S4.NO2.","PT08.S5.O3.","T","RH","AH"
"19.03.04","15:00:00",1410,1268,724,1957,1344,16.4,47.5,0.8791
"19.03.04","16:00:00",1476,1280,708,1955,1378,16.1,50.2,0.9094
"19.03.04","17:00:00",1522,1320,690,2005,1435,16,50.7,0.9142
"19.03.04","18:00:00",1442,1301,704,1952,1372,15.8,50.3,0.8989
"19.03.04","19:00:00",1469,1344,677,1997,1471,15.5,50.6,0.884
"19.03.04","20:00:00",1467,1292,698,1942,1439,15.4,51.4,0.8956
"19.03.04","21:00:00",1421,1202,748,1854,1429,15.2,53.1,0.9117
"19.03.04","22:00:00",1175,945,904,1604,1081,14.7,57.6,0.9573
"19.03.04","23:00:00",1215,912,948,1547,993,14.2,58.3,0.938
"20.03.04","0:00:00",1127,802,1064,1447,837,13.8,57.9,0.9085
"20.03.04","1:00:00",1090,773,1105,1429,761,13.9,55.9,0.8842
"20.03.04","2:00:00",1017,718,1182,1382,650,13.9,55.6,0.8765
"20.03.04","3:00:00",997,677,1252,1359,591,13.8,55.1,0.8666
"20.03.04","4:00:00",945,646,1308,1332,505,13.8,54.6,0.8574
"20.03.04","5:00:00",956,661,1260,1351,518,13.6,55.1,0.856
"20.03.04","6:00:00",966,622,1317,1342,571,13.6,59,0.9129
"20.03.04","7:00:00",1064,728,1161,1461,842,13.5,58.4,0.896
"20.03.04","8:00:00",1300,935,902,1623,1145,13.8,58,0.9083
"20.03.04","9:00:00",1348,998,834,1689,1218,14.6,53.1,0.8765
"20.03.04","10:00:00",1425,1068,776,1764,1341,15,52.3,0.8881
"20.03.04","11:00:00",1474,1061,768,1768,1406,15.4,52.1,0.9046
"20.03.04","12:00:00",1490,1039,782,1757,1422,16.3,50,0.9158
"20.03.04","13:00:00",1495,1040,809,1735,1373,17.1,47.9,0.9281
"20.03.04","14:00:00",1376,953,900,1636,1153,19,42.9,0.937
"20.03.04","15:00:00",1305,884,980,1573,927,19.5,42.3,0.9476
"20.03.04","16:00:00",1283,844,1036,1539,766,19.5,42.3,0.9493
"20.03.04","17:00:00",1392,967,930,1649,941,19.1,43.8,0.9556
"20.03.04","18:00:00",1452,1063,856,1774,1146,18.5,46.3,0.9744
"20.03.04","19:00:00",1633,1199,734,1919,1417,17.4,51.6,1.0159
"20.03.04","20:00:00",1625,1191,733,1885,1442,17.1,51.3,0.9914
"20.03.04","21:00:00",1535,1108,785,1820,1323,16.4,53.8,0.9964
"20.03.04","22:00:00",1323,973,864,1712,1125,16.2,55.4,1.0132
"20.03.04","23:00:00",1309,937,905,1672,1036,15.9,57.7,1.0356
"21.03.04","0:00:00",1456,999,835,1714,1202,15.7,58.6,1.0396
"21.03.04","1:00:00",1300,872,941,1577,1054,15.1,60.9,1.0398
"21.03.04","2:00:00",1203,823,1004,1526,903,15.6,56.6,0.9951
"21.03.04","3:00:00",1195,836,987,1554,885,15.2,57.9,0.9941
"21.03.04","4:00:00",1117,802,1029,1539,818,15.4,57.8,1.0021
"21.03.04","5:00:00",1062,711,1136,1461,700,14.9,60.6,1.0196
"21.03.04","6:00:00",947,594,1300,1390,580,14.5,63,1.0316
"21.03.04","7:00:00",1065,687,1143,1492,815,14.2,66.2,1.063
"21.03.04","8:00:00",1155,734,1062,1528,1035,14.5,65.3,1.0704
"21.03.04","9:00:00",1220,782,996,1560,1067,15.3,62.1,1.073
"21.03.04","10:00:00",1301,862,914,1633,1114,16.3,59,1.0868
"21.03.04","11:00:00",1279,870,911,1646,1000,18.9,49.6,1.07
"21.03.04","12:00:00",1267,883,953,1617,906,19.4,46.1,1.0249
"21.03.04","13:00:00",1239,848,981,1568,822,20.8,41.6,1.0091
"21.03.04","14:00:00",1128,742,1144,1507,610,21.4,40.3,1.0126
"21.03.04","15:00:00",1243,916,962,1669,657,21.2,39.3,0.9791
"21.03.04","16:00:00",1208,853,1060,1506,647,20.3,38,0.8942
"21.03.04","17:00:00",1306,938,961,1607,762,19.4,41.3,0.9206
"21.03.04","18:00:00",1546,1151,769,1874,1122,18.5,43.8,0.9252
"21.03.04","19:00:00",1501,1071,823,1744,1130,17.8,48.1,0.9689
"21.03.04","20:00:00",1605,1153,769,1840,1637,17.9,46.9,0.952
"21.03.04","21:00:00",1316,974,883,1673,1272,17.4,49.1,0.9688
"21.03.04","22:00:00",1195,898,933,1594,1098,17,51.7,0.9914
"21.03.04","23:00:00",1211,896,920,1624,1066,16.4,55.1,1.0198
"22.03.04","0:00:00",1161,815,995,1582,909,16.1,60,1.0919
"22.03.04","1:00:00",1095,767,1050,1547,818,15.8,60.5,1.0805
"22.03.04","2:00:00",897,563,1417,1355,472,16.3,57,1.0491
"22.03.04","3:00:00",842,468,1813,1274,394,16.9,53.9,1.0309
"22.03.04","4:00:00",854,481,1756,1304,396,16.1,55.9,1.0153
"22.03.04","5:00:00",845,472,1786,1278,378,16.5,53.9,1.0049
"22.03.04","6:00:00",942,586,1480,1373,432,16.4,54,0.9979
"22.03.04","7:00:00",1090,768,1072,1538,699,15.7,57.6,1.0195
"22.03.04","8:00:00",1514,1230,732,1996,1252,15.8,53.7,0.9571
"22.03.04","9:00:00",1379,1252,711,1962,1237,17.4,42.1,0.8281
"22.03.04","10:00:00",1074,854,1032,1484,772,17.9,38.4,0.7793
"22.03.04","11:00:00",1090,868,1026,1509,766,18.5,36.7,0.7764
"22.03.04","12:00:00",1110,964,947,1577,829,21,29.6,0.7263
"22.03.04","13:00:00",1102,994,955,1599,783,21.3,28.1,0.7067
"22.03.04","14:00:00",1100,1021,952,1607,822,21.3,26.1,0.6539
"22.03.04","15:00:00",1094,1003,965,1574,813,21.3,26.8,0.6681
"22.03.04","16:00:00",1076,1034,964,1544,813,21.3,24.2,0.606
"22.03.04","17:00:00",1152,1062,928,1606,850,20.2,28.5,0.6682
"22.03.04","18:00:00",1407,1249,720,1932,1276,17,43.1,0.8264
"22.03.04","19:00:00",1438,1325,678,1993,1401,15.6,47.4,0.8347
"22.03.04","20:00:00",1425,1325,678,1965,1356,15.3,47.4,0.8178
"22.03.04","21:00:00",1279,1131,775,1758,1243,14.5,49.7,0.8177
"22.03.04","22:00:00",1132,916,920,1561,1083,13.9,52,0.8231
"22.03.04","23:00:00",1006,729,1142,1370,795,14.5,49.4,0.8106
"23.03.04","0:00:00",982,700,1204,1359,735,13.8,51.4,0.8071
"23.03.04","1:00:00",969,636,1271,1309,684,14,51.3,0.8163
"23.03.04","2:00:00",941,621,1298,1330,714,13,56.8,0.8444
"23.03.04","3:00:00",892,522,1522,1285,456,11,70,0.9215
"23.03.04","4:00:00",855,478,1701,1261,401,10.1,76.8,0.9483
"23.03.04","5:00:00",834,459,1908,1212,361,8.8,80.5,0.9147
"23.03.04","6:00:00",909,567,1542,1287,418,9.6,75.4,0.9004
"23.03.04","7:00:00",1061,745,1178,1429,616,9.8,75,0.9093
"23.03.04","8:00:00",1441,1124,851,1829,1089,10,74.2,0.9117
"23.03.04","9:00:00",1498,1325,684,2095,1329,11.2,69.7,0.9232
"23.03.04","10:00:00",1343,1185,760,1857,1311,12,62.9,0.8803
"23.03.04","11:00:00",1308,1166,792,1794,1236,12.8,55.8,0.821
"23.03.04","12:00:00",1209,1097,837,1746,1147,13.1,54.8,0.8234
"23.03.04","13:00:00",1310,1207,770,1847,1301,13.8,53.4,0.8351
"23.03.04","14:00:00",1171,1064,881,1639,1097,16,42.4,0.7674
"23.03.04","15:00:00",1112,980,924,1589,900,14.1,49.8,0.7971
"23.03.04","16:00:00",1132,927,944,1570,781,12,61.1,0.8537
"23.03.04","17:00:00",1225,1111,818,1719,1013,13.6,54.6,0.8465
"23.03.04","18:00:00",1065,953,962,1514,790,13.7,49.5,0.7695
"23.03.04","19:00:00",1236,1084,854,1688,1059,11.7,57.1,0.7822
"23.03.04","20:00:00",1309,1126,812,1722,1205,11.5,58.2,0.7867
"23.03.04","21:00:00",1089,884,1006,1487,975,12.6,54.2,0.7881
"23.03.04","22:00:00",1000,776,1141,1375,896,12,54.9,0.7664
"23.03.04","23:00:00",1041,782,1105,1425,911,11,61.4,0.8057
"24.03.04","0:00:00",1045,756,1137,1411,902,11.1,62.2,0.8199
"24.03.04","1:00:00",997,744,1151,1405,832,10.8,62.5,0.8082
"24.03.04","2:00:00",948,634,1320,1326,715,11.3,60,0.8025
"24.03.04","3:00:00",878,551,1493,1272,683,10.6,61.6,0.7856
"24.03.04","4:00:00",908,559,1477,1287,721,10.2,62.7,0.7813
"24.03.04","5:00:00",892,522,1572,1255,648,10.9,58.6,0.7628
"24.03.04","6:00:00",954,561,1496,1255,612,10.8,57.2,0.7382
"24.03.04","7:00:00",1045,751,1186,1403,800,10.4,59.2,0.7455
"24.03.04","8:00:00",1383,1109,832,1706,1173,11,57.3,0.7501
"24.03.04","9:00:00",1597,1395,652,2080,1519,11.2,56.9,0.7565
"24.03.04","10:00:00",1318,1124,762,1770,1287,12.1,54.9,0.7734
"24.03.04","11:00:00",1138,898,950,1505,966,15.1,44.3,0.7535
"24.03.04","12:00:00",1098,842,1012,1440,828,15.6,40.6,0.7146
"24.03.04","13:00:00",1118,927,959,1477,825,16.9,34.6,0.6597
"24.03.04","14:00:00",1170,1009,879,1566,872,16.6,35.6,0.6697
"24.03.04","15:00:00",1112,842,1015,1494,680,11.3,63.9,0.8554
"24.03.04","16:00:00",1390,1028,829,1730,1002,9.6,81.1,0.972
"24.03.04","17:00:00",1353,1096,774,1783,1159,11.7,69.1,0.9497
"24.03.04","18:00:00",1260,1050,828,1722,979,10.7,68.5,0.8794
"24.03.04","19:00:00",1501,1302,681,2008,1311,10.7,67.3,0.8643
"24.03.04","20:00:00",1273,1130,795,1744,1071,10.8,65.7,0.8486
"24.03.04","21:00:00",1179,955,928,1571,899,10.3,66.3,0.8336
"24.03.04","22:00:00",1047,809,1064,1435,766,10.1,66.9,0.8248
"24.03.04","23:00:00",973,739,1186,1354,589,10.4,61.1,0.7717
"25.03.04","0:00:00",997,737,1168,1341,631,10.3,59.9,0.7516
"25.03.04","1:00:00",970,621,1400,1249,479,11,58.4,0.7686
"25.03.04","2:00:00",902,568,1450,1253,479,9.1,68.1,0.789
"25.03.04","3:00:00",921,538,1564,1224,417,9.5,68.2,0.8091
"25.03.04","4:00:00",858,490,1707,1212,378,9.3,72.3,0.8496
"25.03.04","5:00:00",878,457,1935,1158,344,9.9,66.8,0.8152
"25.03.04","6:00:00",893,540,1604,1268,413,7.6,83.2,0.8695
"25.03.04","7:00:00",1038,697,1260,1383,605,8.1,79,0.8544
"25.03.04","8:00:00",1320,1035,902,1721,991,8.7,74.6,0.8429
"25.03.04","9:00:00",1353,1235,740,1937,1175,8.6,75.1,0.8415
"25.03.04","10:00:00",1133,933,969,1552,923,9.7,69.7,0.8389
"25.03.04","11:00:00",1066,849,1039,1468,829,11,64.4,0.8447
"25.03.04","12:00:00",1027,809,1081,1442,733,13.6,53,0.8209
"25.03.04","13:00:00",1106,935,958,1570,819,14.2,48.4,0.778
"25.03.04","14:00:00",1038,907,976,1492,723,14.2,46.3,0.7438
